structure_id,total_roof_area,usable_roof_area,dominant_rating,solar_score_avg,roof_patch_count,excellent_area,usable_ratio
800000,720.0,620.0,Good,3.81,16,376.0,0.861
800001,784.0,516.0,Moderate,3.31,13,472.0,0.658
800002,32.0,32.0,Good,4.5,4,20.0,1.0
800003,48.0,0.0,Very Poor,1.33,3,0.0,0.0
800004,64.0,64.0,Good,4.5,2,16.0,1.0
800005,8.0,8.0,Excellent,5.0,1,8.0,1.0
800006,64.0,4.0,Moderate,3.5,2,0.0,0.062
800007,116.0,0.0,Moderate,3.0,2,0.0,0.0
800008,12.0,0.0,Poor,2.0,2,0.0,0.0
800009,108.0,0.0,Very Poor,1.29,7,0.0,0.0
800011,88.0,64.0,Good,3.8,5,44.0,0.727
800012,32.0,32.0,Excellent,4.67,3,20.0,1.0
800014,140.0,132.0,Moderate,3.8,5,64.0,0.943
800015,40.0,40.0,Excellent,5.0,2,40.0,1.0
800017,4.0,4.0,Good,4.0,1,0.0,1.0
800018,72.0,0.0,Poor,2.0,1,0.0,0.0
800019,208.0,208.0,Good,4.5,2,204.0,1.0
800021,84.0,84.0,Excellent,4.67,3,60.0,1.0
800023,248.0,4.0,Moderate,2.78,9,0.0,0.016
800024,688.0,588.0,Poor,2.56,9,584.0,0.855
800027,96.0,92.0,Excellent,4.38,8,24.0,0.958
800028,180.0,152.0,Poor,2.71,7,0.0,0.844
800029,108.0,108.0,Excellent,4.67,3,24.0,1.0
800030,204.0,192.0,Moderate,3.8,5,44.0,0.941
800031,192.0,164.0,Poor,2.5,4,164.0,0.854
800032,100.0,68.0,Moderate,4.0,6,20.0,0.68
800033,4.0,4.0,Good,4.0,1,0.0,1.0
800034,464.0,400.0,Moderate,3.45,11,0.0,0.862
800035,320.0,312.0,Good,4.0,6,252.0,0.975
800036,280.0,280.0,Good,4.25,4,264.0,1.0
800037,56.0,56.0,Good,4.33,3,12.0,1.0
800038,104.0,104.0,Excellent,5.0,1,104.0,1.0
800039,44.0,36.0,Good,3.75,4,0.0,0.818
800041,208.0,204.0,Good,4.14,7,148.0,0.981
800043,528.0,376.0,Very Poor,1.9,10,0.0,0.712
800044,200.0,180.0,Poor,2.75,4,180.0,0.9
800045,20.0,20.0,Good,4.0,3,0.0,1.0
800046,60.0,60.0,Good,4.25,4,44.0,1.0
800047,388.0,368.0,Good,3.7,10,0.0,0.948
800052,16.0,16.0,Good,4.0,2,0.0,1.0
800053,88.0,76.0,Good,4.0,4,4.0,0.864
800054,176.0,132.0,Moderate,3.8,5,8.0,0.75
800055,16.0,16.0,Excellent,5.0,1,16.0,1.0
800062,228.0,192.0,Moderate,3.55,11,144.0,0.842
800063,16.0,0.0,Moderate,3.0,1,0.0,0.0
800064,164.0,164.0,Good,4.17,6,20.0,1.0
800065,20.0,20.0,Excellent,5.0,1,20.0,1.0
800066,176.0,136.0,Moderate,3.5,2,0.0,0.773
800067,12.0,12.0,Good,4.0,1,0.0,1.0
800068,8.0,8.0,Good,4.0,1,0.0,1.0
800069,8.0,8.0,Good,4.0,1,0.0,1.0
800070,5248.0,2772.0,Good,2.94,122,560.0,0.528
800071,1232.0,964.0,Poor,2.92,12,628.0,0.782
800072,1060.0,940.0,Poor,3.08,13,896.0,0.887
800075,24.0,0.0,Poor,2.0,1,0.0,0.0
800076,108.0,72.0,Moderate,3.5,6,8.0,0.667
800077,20.0,20.0,Good,4.0,2,0.0,1.0
800078,80.0,80.0,Excellent,5.0,1,80.0,1.0
800079,32.0,0.0,Very Poor,1.0,1,0.0,0.0
800080,60.0,60.0,Good,4.0,4,0.0,1.0
800081,164.0,68.0,Poor,3.0,5,16.0,0.415
800082,20.0,0.0,Moderate,3.0,1,0.0,0.0
800083,2744.0,1072.0,Moderate,3.33,39,100.0,0.391
800084,120.0,108.0,Good,3.67,6,0.0,0.9
800086,68.0,48.0,Good,4.17,6,36.0,0.706
800087,16.0,16.0,Excellent,5.0,1,16.0,1.0
800088,196.0,196.0,Good,4.25,4,164.0,1.0
800089,40.0,0.0,Poor,1.75,4,0.0,0.0
800091,540.0,536.0,Good,3.8,5,0.0,0.993
800092,96.0,96.0,Good,4.33,3,4.0,1.0
800094,44.0,44.0,Excellent,5.0,1,44.0,1.0
800095,436.0,436.0,Good,4.5,2,432.0,1.0
800096,756.0,704.0,Good,2.81,16,0.0,0.931
800097,224.0,224.0,Excellent,5.0,1,224.0,1.0
800098,80.0,0.0,Very Poor,1.5,2,0.0,0.0
800099,184.0,156.0,Good,3.78,9,8.0,0.848
800103,128.0,108.0,Good,3.6,5,0.0,0.844
800104,19016.0,16292.0,Good,3.59,181,12340.0,0.857
800105,544.0,388.0,Poor,2.6,15,356.0,0.713
800108,140.0,140.0,Excellent,4.86,7,32.0,1.0
800112,24.0,24.0,Good,4.0,1,0.0,1.0
800113,88.0,88.0,Good,4.33,3,12.0,1.0
800115,1316.0,1312.0,Good,3.8,5,0.0,0.997
800116,68.0,32.0,Good,3.5,2,0.0,0.471
800119,40.0,40.0,Good,4.33,3,24.0,1.0
800120,256.0,240.0,Excellent,4.2,5,172.0,0.938
800121,84.0,84.0,Excellent,5.0,2,84.0,1.0
800122,56.0,44.0,Good,3.78,9,12.0,0.786
800123,12.0,0.0,Moderate,3.0,1,0.0,0.0
800124,40.0,40.0,Excellent,5.0,1,40.0,1.0
800125,8.0,8.0,Good,4.0,2,0.0,1.0
800126,24.0,24.0,Excellent,5.0,1,24.0,1.0
800127,16.0,16.0,Excellent,5.0,1,16.0,1.0
800128,188.0,188.0,Good,4.12,8,4.0,1.0
800129,244.0,244.0,Good,4.4,5,28.0,1.0
800130,116.0,0.0,Poor,2.0,1,0.0,0.0
800131,16.0,0.0,Poor,2.0,1,0.0,0.0
800132,216.0,216.0,Excellent,5.0,3,216.0,1.0
800134,28.0,28.0,Good,4.0,3,0.0,1.0
800135,12.0,12.0,Good,4.5,2,4.0,1.0
800136,188.0,180.0,Poor,3.0,2,0.0,0.957
800137,280.0,280.0,Good,4.5,2,140.0,1.0
800138,32.0,16.0,Moderate,3.5,4,0.0,0.5
800139,3560.0,3560.0,Good,4.0,1,0.0,1.0
800140,232.0,224.0,Good,3.43,7,0.0,0.966
800141,272.0,272.0,Good,4.1,10,12.0,1.0
800142,624.0,564.0,Good,3.71,17,240.0,0.904
800143,112.0,68.0,Good,3.83,6,0.0,0.607
800146,216.0,172.0,Good,3.2,5,0.0,0.796
800147,1448.0,1336.0,Moderate,3.41,17,1180.0,0.923
800148,16.0,16.0,Good,4.0,3,0.0,1.0
800154,8.0,8.0,Excellent,5.0,1,8.0,1.0
800156,116.0,116.0,Excellent,4.6,5,12.0,1.0
800157,140.0,136.0,Excellent,4.36,11,80.0,0.971
800159,256.0,200.0,Good,3.83,6,68.0,0.781
800160,140.0,28.0,Good,3.33,3,0.0,0.2
800161,16.0,16.0,Excellent,5.0,1,16.0,1.0
800162,116.0,104.0,Good,3.8,10,0.0,0.897
800163,40.0,4.0,Poor,2.33,6,0.0,0.1
800164,124.0,124.0,Good,4.0,5,0.0,1.0
800166,64.0,64.0,Good,4.0,3,0.0,1.0
800167,464.0,464.0,Good,4.14,7,260.0,1.0
800168,236.0,236.0,Good,4.0,1,0.0,1.0
