struct_id_2015,structure_id_2023,match_distance_deg
800177,809846,0.00012705674967803093
800178,902114,4.86704258834953e-05
800179,815115,7.303731707915563e-06
800180,810423,1.3819678458514551e-05
800181,809922,1.339156723082954e-05
800182,802729,1.598473557793251e-05
800183,808718,5.2028268335731263e-05
800184,803054,1.3706388259076012e-05
800185,801991,3.263512554650432e-05
800186,802414,3.152085014627555e-05
800187,804771,7.103290508117599e-05
800188,816379,2.478896534606404e-05
800190,812089,0.00013303713099324348
800191,800416,3.6695131946618592e-06
800192,800223,3.197442363385768e-05
800193,808665,4.459239603198002e-06
800194,804253,6.725392182894484e-06
800195,807311,7.344250769105491e-06
800196,808880,3.672219946508137e-05
800197,818947,5.3600082169299165e-05
800198,900001,0.00025632790586077863
800199,804658,1.4960678262599703e-05
800200,804659,2.0645872392685756e-06
800201,803063,1.2612951727400897e-05
800202,803325,1.5940568661903553e-05
800203,901347,4.993373516014555e-06
800204,818428,2.707540130215697e-05
800205,800011,8.08118087808721e-07
800206,815109,6.25210390030664e-07
800207,818248,8.668226041369307e-06
800208,800594,4.931662145458136e-06
800209,800594,0.00013458501314454654
800210,803655,4.048641146463459e-06
800211,812539,3.648900753245771e-05
800212,800086,6.192660731949195e-06
800213,810641,4.543749947053107e-06
800214,810641,7.39556487945387e-06
800215,818303,2.425202207010377e-05
800216,807701,2.257515275442301e-05
800217,814308,2.0659101738642227e-05
800218,814177,2.3779258332839567e-05
800219,814177,4.871017531038532e-05
800220,808114,4.934403173287646e-06
800221,800381,1.6967033037270584e-05
800222,817277,2.1938564122837045e-05
800223,810247,4.782316046924984e-06
800224,801880,1.2003066570244587e-05
800225,801880,5.15407216808013e-05
800226,800084,1.3932193243563547e-05
800227,807465,7.983889903625329e-06
800228,816129,1.1567520206014976e-05
800229,818298,2.8063020807896054e-05
800230,800978,1.1866279672673728e-05
800231,817772,1.2001551272871977e-05
800232,807655,3.970295511012734e-05
800233,814357,1.868670970326517e-05
800234,802289,2.897715989984719e-05
800235,817825,1.4253696354254052e-05
800236,814733,2.877130837274244e-05
800237,813925,2.168568604229498e-06
800238,804200,5.230693817283875e-06
800239,815462,2.5672288504689286e-05
800240,803195,2.40381231039615e-05
800241,810754,1.5373488925537374e-06
800243,801710,5.4145988380909985e-06
800244,801960,3.407910082957356e-05
800245,806854,1.3503999000890656e-06
800246,802735,3.798037906027282e-05
800247,818249,5.0021331626596715e-05
800248,818249,5.510312396503618e-05
800249,801688,6.829603918510458e-06
800250,800855,3.0842908679892246e-06
800251,805710,2.8329282696395596e-05
800252,805710,5.1786830537633034e-05
800253,803362,5.175331084001174e-06
800254,800884,9.855288928682637e-06
800255,812428,3.6778965884515976e-06
800256,808769,7.846338683953272e-06
800257,817970,1.6039708088238069e-06
800258,813409,2.6974606468737205e-05
800259,805711,7.864487581304973e-06
800260,800048,7.627653385131765e-06
800261,808763,8.576372972184642e-06
800262,815452,7.544101130242343e-06
800263,817290,1.4126809099623834e-05
800264,807641,2.909141120686387e-05
800265,817286,5.539411487946901e-05
800266,817346,3.131773926852419e-05
800267,812301,3.5883082442539657e-06
800268,813879,3.3305104606098273e-06
800269,803770,1.1268271807975314e-06
800270,818731,2.379822875634199e-05
800271,806490,4.992146809633634e-07
800272,811135,4.479578582575277e-07
800273,809300,4.984754350356826e-06
800274,815680,2.5889050543701944e-05
800275,804973,2.9396996222451585e-06
800276,803775,1.4699110728238882e-06
800277,809646,1.9025482922599454e-06
800278,807649,1.0703912577928985e-06
800279,817951,6.9174622412532755e-06
800280,814873,6.2701850794387354e-06
800281,800718,2.3524511890175228e-06
800282,817859,1.9562292442707585e-06
800283,803766,2.6642141239389857e-05
800284,801112,5.923108241541705e-06
800285,817863,1.0538385777077961e-05
800286,808809,5.864261688583187e-06
800287,812135,1.1430921628604228e-05
800288,817352,4.995021918534291e-06
800289,801405,8.186491423167473e-07
800290,810261,2.3158788135977777e-06
800291,805351,4.178878722992445e-06
800292,813417,6.020620677974458e-06
800293,818155,4.700823865606745e-06
800294,817674,1.6450370002760455e-05
800295,805684,9.486343246441302e-06
800296,802787,5.803766343454223e-06
800297,815560,7.755889484340793e-06
800298,809713,8.244322456824926e-06
800299,809342,1.0037046454709988e-05
800300,808897,1.4598829917817825e-05
800301,817615,9.366016776711417e-06
800302,804313,1.0983934448463194e-06
800303,818746,1.3995753059451764e-05
800304,803698,3.402805545599355e-05
800305,805566,1.3125948197460076e-06
800306,810265,1.780199784282755e-06
800307,805299,3.4422471477108087e-06
800308,812186,1.8250354627452895e-05
800309,813142,2.0542115630693528e-05
800311,817611,4.1593486172564724e-05
800312,810753,4.746689500332542e-05
800313,811942,2.3702961730584687e-05
800314,807142,4.560757197957239e-05
800315,801007,4.5507006617578796e-05
800316,817398,6.7806114628407e-05
800317,817398,0.00011909173350740941
800318,814032,3.071562406495261e-05
800319,813924,3.946954017453644e-05
800320,811892,3.4341929901792106e-05
800321,811421,3.093572159803684e-05
800322,810207,3.03493582204781e-05
800323,804468,2.4227842465414715e-05
800324,808871,4.074200687795645e-05
800325,800463,7.143285909870908e-06
800326,801029,8.494989560652415e-06
800327,800134,2.8760329301411815e-05
800328,812030,4.188814776222465e-05
800329,812365,9.963428526750884e-06
800330,803518,2.6593933336146675e-05
800331,817998,3.510903469785558e-05
800332,811875,3.923255157737331e-05
800333,814173,3.828885534003555e-05
800334,815480,4.244793727103965e-05
800335,803298,2.118133416977706e-05
800336,804947,3.2345913097391395e-05
800337,810575,2.9690571239445522e-05
800338,804225,2.9170500081033526e-05
800339,805263,3.204470441753404e-05
800340,811104,2.721326861145031e-05
800341,815695,1.0351901679902452e-05
800342,809325,2.1005456771923057e-05
800343,809325,1.475013697437959e-05
800344,818129,2.2419323722578175e-06
800345,813301,2.506841460029201e-05
800346,804629,1.8074555688277155e-05
800347,806869,5.954218507820604e-06
800348,806868,9.552925429447345e-06
800349,816008,1.0071216624942767e-05
800350,811680,6.312857085449666e-05
800351,800280,9.869596886097207e-07
800352,804342,0.0001796225304794105
800355,817092,2.2919915967492808e-05
800356,803388,1.3517743920950623e-05
800357,817092,0.00017502833790345037
800358,817092,8.603311973599761e-05
800359,801538,1.7812238234266737e-05
800360,811339,7.26460812696915e-06
800361,811405,1.9404030521039972e-05
800362,800235,2.213286654372431e-05
800363,813194,6.2051465229027e-06
800364,818311,5.625270045483745e-06
800365,818901,5.18486866187458e-06
800366,804341,3.852844991686364e-06
800367,804260,2.2347638782749767e-05
800368,807860,1.958166115664985e-05
800369,814427,2.1101892783702683e-05
800370,807861,1.9726282940604835e-05
800371,811410,3.3191726946048246e-05
800372,810811,3.3656845293408956e-05
800373,808789,3.731205794667482e-05
800374,805999,2.1977095527533668e-05
800375,806017,3.0208881524425724e-05
800376,804505,1.222477243437591e-06
800377,817111,2.202357482450138e-05
800378,808940,2.0352674636087616e-05
800379,808535,6.550128789982369e-06
800380,811015,1.9453034575676325e-05
800381,817783,7.656824574989485e-06
800382,809112,2.353012295648908e-05
800383,806806,2.6962776222848293e-05
800384,803551,4.599767306411381e-05
800385,811369,2.981931295276514e-05
800386,814949,3.901466778690276e-05
800387,811187,5.4098663269355945e-05
800388,810248,3.55460627738675e-05
800389,814635,5.932333589281715e-05
800390,813697,2.4800327542095483e-05
800391,813449,5.1207010347489526e-06
800392,810186,3.3492106017467345e-05
800393,813331,3.063947276044825e-05
800394,808101,2.8417661602645037e-05
800395,803282,3.4906590669079194e-05
800396,807944,1.7400182323524238e-05
800397,806416,1.785223731814531e-05
800398,812161,2.32271084452279e-05
800399,813841,3.911724375720718e-05
800400,811002,4.500346110277009e-05
800401,818791,3.302285053200147e-05
800402,803155,2.280150702481984e-05
800403,806260,2.952383657967623e-05
800404,806260,7.837078862600134e-06
800405,809767,2.0358370620558708e-06
800406,814391,3.088692797966121e-05
800407,804999,3.505101754189362e-06
800408,809406,1.6344913254265852e-05
800409,809958,2.9085869159176756e-05
800410,802663,3.868133185401471e-06
800411,818095,2.4761365173015722e-06
800412,811335,3.626529264718499e-05
800413,811603,1.1339283923165802e-05
800414,804695,1.390896116894304e-05
800415,818087,2.3494319428027268e-05
800416,809361,4.63280918267337e-05
800417,806209,2.499378401005793e-05
800418,802852,2.5732391841959128e-05
800419,800687,6.336522621985577e-05
800420,800562,8.50327612758988e-06
800421,813768,5.628994595506017e-05
800422,812414,8.014095225943088e-05
800423,812414,2.2551885445275458e-05
800424,805436,3.809795866630169e-05
800425,812292,2.2834723524479978e-05
800426,814298,1.2948982900593839e-05
800427,806192,1.370876648885778e-05
800428,808142,2.8183270554155903e-05
800429,810622,9.070092568943129e-05
800430,804407,4.2137151939329926e-05
800431,810622,8.328230774211197e-06
800432,816968,6.944333303430398e-06
800433,815394,1.521859499575512e-05
800434,810353,5.693582662740294e-05
800435,810353,1.5205250137455222e-05
800436,812908,2.3776477868812817e-06
800437,807117,3.313493180483416e-05
800438,802338,1.5589201621739902e-05
800439,809013,4.3498127439923885e-06
800440,802349,1.7398485948331324e-05
800441,807154,8.372733546161272e-06
800442,808145,1.8953651642687408e-05
800443,816420,3.3213874592756665e-05
800444,814996,2.398513941513099e-05
800445,806262,2.173710203954999e-05
800446,803716,2.1818237623691527e-05
800447,804058,1.4161131487771655e-05
800448,813131,1.146611101976448e-05
800449,804836,7.972902644067114e-05
800450,810312,1.4924121343903577e-05
800451,804836,1.104145551695631e-05
800452,801727,5.48510182958283e-06
800453,802895,1.8344401233442045e-06
800454,804278,1.0057134887404076e-05
800455,813634,4.137715079141739e-06
800456,817187,2.3126434309840914e-05
800457,815417,4.0116067849946764e-05
800458,804618,3.366060592238256e-05
800459,818747,4.702730270599455e-06
800460,816559,3.362217916750756e-05
800461,809809,1.0164140759372824e-05
800462,815250,7.224728055771505e-06
800463,806289,1.8591743270477435e-05
800464,810647,7.558207491963082e-06
800465,810647,5.4111287962278404e-06
800466,800791,4.6074067413565635e-05
800467,804928,5.9781479565180274e-05
800468,812229,1.881164498338911e-05
800469,813536,1.0722276103615523e-06
800470,813537,4.0799039615157034e-05
800471,901821,1.0191947062272051e-06
800472,812327,2.044732438051975e-05
800473,804911,3.4928786408398086e-05
800474,805594,3.215081792702643e-05
800475,818143,2.5730888901128542e-05
800476,816476,4.821920574278844e-05
800477,814884,2.2950790723539574e-06
800478,809317,1.1512172131372145e-05
800479,814081,2.0848919721146648e-05
800480,813083,1.3118336122628393e-05
800481,815698,4.0145117061714844e-05
800482,804206,5.0871479317721176e-05
800483,816681,1.0333227587847466e-05
800484,801119,4.180165539350427e-06
800485,800960,4.793558779862701e-05
800486,800959,6.821629836522293e-06
800487,818831,0.00015991364339077807
800488,812366,1.626870007990302e-05
800489,804864,6.175150947186273e-05
800490,818832,1.5184870166320139e-05
800491,805768,3.5320647959875617e-07
800492,811691,3.874869000748847e-06
800493,817933,2.1309463530935325e-06
800494,803544,1.8165692236429481e-06
800495,806620,7.181808077406805e-06
800496,809454,1.7267530947918035e-06
800497,816084,1.553001058354233e-05
800498,802266,1.4150929612051111e-06
800499,817268,2.42426527733048e-06
800500,900066,5.265000304828878e-05
800501,900066,1.3757709098683924e-06
800502,816515,1.1039206018006276e-06
800503,800249,4.9494872418239636e-06
800504,800176,2.469281482291415e-05
800505,805187,2.115811435594032e-05
800506,802769,4.411717968053575e-05
800507,808409,3.476466373907964e-05
800508,805133,1.1447113553246074e-05
