iter	RMSE
0	0.9421981902
1	0.9365011017
2	0.9304486117
3	0.9249125992
4	0.9194302496
5	0.9142996807
6	0.9096797903
7	0.905111623
8	0.9006160335
9	0.8966855735
10	0.892305335
11	0.8886656482
12	0.8846831248
13	0.8807111609
14	0.8776905353
15	0.8738198944
16	0.8703810869
17	0.8794561923
18	0.8763964483
19	0.8733225526
20	0.8708175564
21	0.8687007457
22	0.8662839276
23	0.8641130308
24	0.8614202457
25	0.8592105304
26	0.8566296989
27	0.8544940848
28	0.8523779859
29	0.850558971
30	0.8486060084
31	0.8467644244
32	0.8452874697
33	0.8437600158
34	0.8421550073
35	0.8406558479336	0.8394612393337	0.8377255902338	0.8357908497339	0.8343368202440	0.8330848041441	0.8315750555442	0.8305127058443	0.8291440048444	0.828021916745	0.8137131564
46	0.8124111948
47	0.8113532358
48	0.8100486149
49	0.8085909029
50	0.8077687339
51	0.8067354239
52	0.8056011578
553	0.8179645945554	0.8169205769555	0.815798053
56	0.8150378441
57	0.8141080269
58	0.8133159461
59	0.812194405
60	0.8112254039
61	0.8102829913
62	0.8093699901
63	0.808535039
64	0.8077054644
65	0.806940367
66	0.8061477083
67	0.8052873519
68	0.8045719142
69	0.8041007553
70	0.8034654473
71	0.8029545983
72	0.8022715568
73	0.8013698611
74	0.8008706179
75	0.8001168888
76	0.799412951
77	0.798515243
78	0.7976761642
79	0.7969848545
80	0.7964112788
81	0.7958235505
82	0.7951867404
83	0.7942533903
84	0.7935921204
85	0.7930273782
86	0.7923783711
87	0.7918194198
88	0.7913440759
89	0.7908599543
90	0.7902760747
91	0.7898482683
92	0.7888631513
93	0.7883129304
94	0.7878403927
95	0.7871492762
96	0.7864713822
97	0.7860362718
98	0.7853918266
99	0.7848134771
100	0.7843816803
101	0.784106039
102	0.7837736539
103	0.7833481223
104	0.7829127333
105	0.7822312726
106	0.7816641057
107	0.7812274006
108	0.7806539048
109	0.7803234781
110	0.7798622778
111	0.7794255923
112	0.7790096334
113	0.7787111758
114	0.7780145278
115	0.7777300328
116	0.7771681496
117	0.7764290748
118	0.7760143061
119	0.7754421193
120	0.775048626
121	0.7746038739
122	0.7742398195
123	0.7739479484
124	0.7736668437
125	0.7733241988
126	0.7727600572
127	0.7724037982
128	0.7719518989
129	0.7713498159
130	0.771061954
131	0.7707480392
132	0.7703967995
133	0.7701089446
134	0.7697168575
135	0.7693080761
136	0.7690067286
137	0.768678993
138	0.7683483124
139	0.7680901425
140	0.7677783232
141	0.7672295188
142	0.7669242628
143	0.766597079
144	0.7662857094
145	0.7660234584
146	0.7656832421
147	0.7654107274
148	0.7647897331
149	0.7643333098
150	0.7640442563
151	0.7637270973
152	0.7631665499
153	0.7629715168
154	0.7625392521
155	0.7621126409
156	0.7618980091
157	0.7613583646
158	0.7610662651
159	0.7607564394
160	0.7604355972
161	0.7600357626
162	0.7595245188
163	0.7591744442
164	0.7589310816
165	0.7584237462
166	0.7582075261
167	0.7579491163
168	0.7577585621
169	0.7572680745
170	0.7570034367
171	0.7565008555
172	0.7561981642
173	0.7559517635
174	0.7557455635
175	0.755460024
176	0.755030926
177	0.7546870865
178	0.7544649436
179	0.7538213032
180	0.7536409646
181	0.7534594559
182	0.7530342511
183	0.7528431473
184	0.7524354352
185	0.7520674029
186	0.7518475629
187	0.7516207668
188	0.7511372554
189	0.750961733
190	190	0.739487191	0.7502622425
192	0.7498129737
193	0193	0.738831194	0.7492102842
195	0195	0.738153196	0196	0.737748197	0.7484958506
198	0.7481605626
199	0.7479946945
200	0.7477883293
201	0.7475418533
202	0.7473598267
203	0.7470648855
204	0.7467599037
205	0.7459259715
206	0.7457474773
207	0.7453935998
208	0.7450555795
209	0.7448470315
210	0.744552973
211	0.744316791
212	0.7441115844
213	0.7435586656
214	0.7433445696
215	0.7431901319
216	0.7428630457
217	0.7426402819
218	0.7424088074
219	0.7419367782
220	0.7417836003
221	0.7411684014
222	0.740874308
223	0.7406939484
224	0.7403081319
225	0.7401760788
226	0.739992365
227	0.7397102321
