iter	Passed	Remaining
0	9	3934
1	18	3724
2	28	3752
3	36	3594
4	45	3617
5	53	3528
6	62	3494
7	70	3458
8	80	3495
9	88	3453
10	96	3409
11	103	3352
12	111	3330
13	119	3297
14	126	3255
15	135	3262
16	143	3242
17	151	3214
18	160	3216
19	168	3204
20	177	3203
21	186	3210
22	194	3194
23	203	3182
24	211	3174
25	219	3163
26	227	3148
27	235	3125
28	243	3111
29	250	3084
30	257	3065
31	265	3054
32	273	3046
33	281	3027
34	288	3013
35	295	2991
36	303	2975
37	310	2958
38	319	2956
39	326	2938
40	334	2928
41	343	2925
42	351	2916
43	358	2902
44	365	2886
45	375	2888
46	382	2876
47	391	2869
48	399	2864
49	407	2852
50	416	2848
51	423	2832
52	431	2822
53	437	2805
54	446	2797
55	454	2789
56	461	2777
57	470	2773
58	479	2769
59	486	2758
60	493	2739
61	500	2729
62	507	2713
63	514	2703
64	522	2694
65	530	2682
66	538	2675
67	544	2656
68	551	2645
69	558	2631
70	565	2622
71	572	2610
72	580	2598
73	590	2601
74	597	2590
75	604	2578
76	612	2567
77	618	2554
78	625	2543
79	632	2531
80	640	2522
81	647	2511
82	654	2500
83	662	2491
84	669	2479
85	676	2469
86	683	2457
87	690	2446
88	696	2434
89	704	2425
90	711	2414
91	718	2404
92	724	2391
93	731	2381
94	738	2372
95	744	2358
96	752	2351
97	760	2342
98	766	2330
99	773	2320
100	780	2310
101	788	2302
102	794	2292
103	802	2284
104	809	2275
105	817	2267
106	824	2257
107	831	2247
108	837	2236
109	843	2225
110	852	2219
111	860	2212
112	868	2205
113	874	2194
114	881	2184
115	888	2175
116	895	2166
117	904	2160
118	910	2150
119	918	2142
120	924	2132
121	932	2124
122	939	2115
123	946	2107
124	953	2098
125	961	2090
126	968	2082
127	975	2073
128	982	2063
129	989	2055
130	996	2046
131	1002	2035
132	1009	20261133	1016	20181134	1024	20101135	1031	20011136	1038	19931137	1044	19831138	1051	19741139	1059	19671140	1066	19581141	1072	19491142	1081	1943
143	1088	1934
144	1094	19241145	1101	19151146	1107	19051147	1114	18971148	1120	18871149	1127	18781150	1134	18701151	1141	18621152	1148	18531153	1155	18461154	1162	18361155	1169	18281156	1176	18201157	1183	18121158	1190	18041159	1197	17961160	1204	17871161	1211	17801162	1219	17721163	1226	17651164	1234	17581165	1241	17491166	1248	17411167	1254	17321168	1261	17241169	1267	17151170	1274	17071171	1282	16991172	1288	16911173	1295	16821174	1302	16751175	1310	16671176	1317	16591177	1324	16521178	1331	16431179	1339	16361180	1345	16281181	1353	16201182	1360	16131183	1366	16041184	1373	15961185	1380	15881186	1386	15791187	1393	15711188	1400	15631189	1406	1554190	1413	1547
1191	1421	15391192	1428	1531193	1435	1523
1194	1442	1516195	1448	1507
196	1455	1499
1197	1463	14921198	1470	14841199	1477	14772200	1484	14692201	1491	14612202	1498	14542203	1507	14482204	1515	14412205	1522	14332206	1530	14262207	1538	1420
208	1545	1412
209	1552	14042210	1558	13952211	1565	13872212	1571	13792213	1579	13722214	1586	13642215	1594	1358
216	1602	1351
217	1609	1343
218	1616	13362219	1623	1328
220	1631	1321
221	1640	1315
222	1647	1307
223	1654	1299
224	1661	1292
225	1668	1284
226	1675	1276
227	1681	1268
228	1688	1260
229	1695	1253
230	1703	1246
231	1710	1238
232	1718	1231
233	1725	1223
234	1731	1215
235	1738	1208
236	1746	1201
237	1753	1193
238	1760	1185
239	1768	1179
240	1776	1171
241	1784	1164
242	1791	1157
243	1799	1150
244	1805	1142
245	1808	1131
246	1815	1124
247	1822	1117
248	1828	1108
249	1835	1101
250	1841	1093
251	1849	1086
252	1857	1079
253	1864	1071
254	1872	1064
255	1879	1057
256	1886	1049
257	1893	1042
258	1901	1035
259	1907	1027
260	1914	1019
261	1920	1011
262	1927	1003
263	1933	996
264	1941	988
265	1947	980
266	1954	973
267	1961	966
268	1967	958
269	1974	950
270	1980	942
271	1987	935
272	1994	927
273	2001	920
274	2008	913
275	2016	905
276	2022	898
277	2029	890
278	2036	883
279	2043	875
280	2050	868
281	2057	860
282	2064	853
283	2070	845
284	2078	838
285	2085	831
286	2092	823
287	2099	816
288	2107	809
289	2114	801
290	2121	794
291	2128	787
292	2135	779
293	2141	772
294	2148	764
295	2155	757
296	2162	749
297	2169	742
298	2178	735
299	2185	728
300	2191	720
301	2198	713
302	2204	705
303	2212	698
304	2219	691
305	2226	683
306	2234	676
307	2240	669
308	2247	661
309	2254	654
310	2260	646
311	2267	639
312	2274	632
313	2281	624
314	2287	617
315	2295	610
316	2302	602
317	2308	595
318	2316	588
319	2323	580
320	2330	573
321	2337	566
322	2344	5532323	2351	551
324	2358325	2325	2366	537
326	2374	529
327	2381	522
328	2388	515
329	2395	508
330	2402	500
331	2408	493
332	2416	486
333	2423	4733334	2431	471
335	2439	464
336	2447	457
337	2454	450
338	2462	443
339	2469	435
340	2475	428
341	2482	421
342	2491	413
343	2498	406
344	2505	399
345	2511	392
346	2518	384
347	2525	377
348	2532	370
349	2540	362
350	2547	355
351	2554	348
352	2562	341
353	2569	333
354	2577	326
355	2585	319
356	2592	312
357	2599	304
358	2605	297
359	2613	290
360	2620	283
361	2628	275
362	2635	268
363	2642	261
364	2649	254
365	2655	246
366	2662	239
367	2669	232
368	2677	224
369	2684	217
370	2691	210
371	2698	203
372	2704	195
373	2711	188
374	2718	181
375	2725	173
376	2732	166
377	2739	159
378	2746	152
379	2754	144
380	2760	137
381	2767	130
382	2774	123
383	2780	115
384	2787	108
385	2793	101
386	2799	94
387	2806	86
388	2814	79
389	2821	72
390	2828	65
391	2834	57
392	2840	50
393	2846	43
394	2852	36
395	2859	28
396	2864	21
397	2870	14
398	2876	7
399	2881	0
