date,kwh_m2_day
20150101,7.393
20150102,8.7847
20150103,8.3695
20150104,6.8405
20150105,8.5704
20150106,8.7816
20150107,7.5187
20150108,4.0284
20150109,2.8951
20150110,2.7845
20150111,7.5422
20150112,8.8874
20150113,2.4362
20150114,3.0444
20150115,4.7311
20150116,8.922
20150117,8.1017
20150118,6.1198
20150119,8.5174
20150120,5.7209
20150121,7.3694
20150122,7.7741
20150123,7.531
20150124,7.2485
20150125,6.8695
20150126,7.2329
20150127,6.779
20150128,7.445
20150129,7.0111
20150130,6.1222
20150131,4.9769
20150201,6.0773
20150202,6.7934
20150203,7.7957
20150204,6.727
20150205,8.1461
20150206,7.8641
20150207,4.6469
20150208,6.8486
20150209,8.2378
20150210,7.6368
20150211,7.0238
20150212,7.2648
20150213,5.4062
20150214,4.5926
20150215,7.7045
20150216,7.3493
20150217,5.3369
20150218,2.5666
20150219,6.0197
20150220,7.187
20150221,7.0517
20150222,5.9837
20150223,2.9844
20150224,6.5186
20150225,6.0929
20150226,5.7936
20150227,6.9516
20150228,3.029
20150301,6.0113
20150302,6.2453
20150303,6.5902
20150304,7.0315
20150305,5.6945
20150306,3.0079
20150307,3.6492
20150308,6.3365
20150309,4.5509
20150310,6.883
20150311,6.7015
20150312,4.8221
20150313,6.6418
20150314,5.9148
20150315,6.385
20150316,4.3555
20150317,1.9802
20150318,3.3854
20150319,5.5692
20150320,4.9913
20150321,6.3307
20150322,6.0811
20150323,1.759
20150324,2.8078
20150325,4.2451
20150326,3.8909
20150327,2.2274
20150328,3.8254
20150329,5.659
20150330,5.5109
20150331,5.6364
20150401,4.1974
20150402,4.9553
20150403,5.5121
20150404,4.1986
20150405,3.3914
20150406,3.4958
20150407,1.1554
20150408,2.9842
20150409,4.699
20150410,5.0316
20150411,4.5607
20150412,4.3056
20150413,4.9961
20150414,2.335
20150415,3.9379
20150416,3.2414
20150417,1.9282
20150418,2.3851
20150419,2.9525
20150420,4.271
20150421,4.3966
20150422,2.592
20150423,3.3346
20150424,2.0366
20150425,1.825
20150426,2.2565
20150427,1.7746
20150428,2.7478
20150429,3.8909
20150430,3.7334
20150501,3.8532
20150502,1.9534
20150503,3.6564
20150504,3.6442
20150505,1.7134
20150506,2.1038
20150507,2.0695
20150508,1.2847
20150509,1.5982
20150510,1.4114
20150511,1.7803
20150512,1.7717
20150513,2.1089
20150514,1.3958
20150515,2.046
20150516,3.3274
20150517,3.3295
20150518,3.3756
20150519,0.8244
20150520,2.0693
20150521,1.6006
20150522,2.4106
20150523,3.1358
20150524,2.7734
20150525,2.2354
20150526,2.1413
20150527,1.7762
20150528,1.9687
20150529,1.9536
20150530,1.8886
20150531,1.333
20150601,2.0338
20150602,1.5842
20150603,2.5109
20150604,1.5948
20150605,2.1528
20150606,1.4398
20150607,1.4143
20150608,1.7038
20150609,2.093
20150610,1.9332
20150611,2.8176
20150612,2.429
20150613,2.2975
20150614,2.232
20150615,1.7412
20150616,0.911
20150617,1.081
20150618,1.0968
20150619,1.9709
20150620,2.3033
20150621,2.7802
20150622,2.105
20150623,2.2642
20150624,1.9147
20150625,1.6538
20150626,2.4012
20150627,1.393
20150628,1.4832
20150629,2.1818
20150630,1.8482
20150701,1.6651
20150702,1.711
20150703,1.3934
20150704,0.8376
20150705,1.8062
20150706,0.9893
20150707,2.0784
20150708,2.1526
20150709,1.0723
20150710,1.5965
20150711,0.9672
20150712,0.8112
20150713,1.2727
20150714,1.0848
20150715,1.8533
20150716,2.2154
20150717,1.4765
20150718,2.8538
20150719,3.0619
20150720,2.9693
20150721,2.5697
20150722,1.3776
20150723,2.4403
20150724,1.207
20150725,1.759
20150726,2.1696
20150727,1.6399
20150728,2.2418
20150729,2.1919
20150730,1.44
20150731,3.4534
20150801,1.35
20150802,2.5678
20150803,2.4012
20150804,2.0568
20150805,2.0654
20150806,1.6728
20150807,1.6699
20150808,1.7458
20150809,1.5811
20150810,2.9261
20150811,2.579
20150812,2.0544
20150813,2.2001
20150814,2.4526
20150815,2.5464
20150816,2.6318
20150817,2.3086
20150818,2.2646
20150819,3.5345
20150820,3.8832
20150821,2.1077
20150822,3.624
20150823,3.1697
20150824,2.9052
20150825,1.9133
20150826,3.024
20150827,0.912
20150828,2.6885
20150829,2.3801
20150830,3.1632
20150831,4.1933
20150901,4.7338
20150902,3.6847
20150903,3.1198
20150904,4.4938
20150905,3.9089
20150906,2.8493
20150907,2.9378
20150908,2.5913
20150909,2.946
20150910,3.3511
20150911,5.3443
20150912,3.6578
20150913,5.3976
20150914,5.5349
20150915,2.9484
20150916,3.366
20150917,3.3763
20150918,3.7637
20150919,5.1418
20150920,4.9838
20150921,3.3643
20150922,4.3315
20150923,4.8955
20150924,4.3073
20150925,5.9851
20150926,6.2321
20150927,6.2261
20150928,5.0614
20150929,5.382
20150930,5.3114
20151001,6.4356
20151002,6.0732
20151003,6.6154
20151004,6.625
20151005,6.4774
20151006,5.9386
20151007,7.061
20151008,6.732
20151009,6.1306
20151010,5.0978
20151011,4.9994
20151012,3.2626
20151013,6.9857
20151014,7.1018
20151015,6.8746
20151016,2.8318
20151017,5.281
20151018,7.4822
20151019,7.679
20151020,4.8914
20151021,2.405
20151022,4.7251
20151023,5.6215
20151024,7.385
20151025,5.7545
20151026,3.437
20151027,8.1139
20151028,8.0899
20151029,7.6728
20151030,6.5484
20151031,3.3826
20151101,2.9873
20151102,3.5914
20151103,7.1138
20151104,5.8714
20151105,3.4613
20151106,2.5798
20151107,6.1478
20151108,6.9264
20151109,7.8533
20151110,2.7487
20151111,6.0247
20151112,5.5867
20151113,6.1248
20151114,6.6907
20151115,8.5896
20151116,8.2963
20151117,6.9264
20151118,8.5896
20151119,7.1738
20151120,3.9254
20151121,6.1752
20151122,8.9059
20151123,6.5191
20151124,8.9686
20151125,5.5771
20151126,6.6048
20151127,5.3952
20151128,8.646
20151129,5.6482
20151130,8.3546
20151201,7.4983
20151202,8.0098
20151203,9.1118
20151204,9.3761
20151205,8.0297
20151206,5.1883
20151207,3.0336
20151208,6.5314
20151209,8.491
20151210,7.9721
20151211,5.8286
20151212,7.1201
20151213,8.1384
20151214,9.0094
20151215,8.0026
20151216,9.408
20151217,9.4298
20151218,8.635
20151219,8.0275
20151220,5.5315
20151221,6.7531
20151222,8.3419
20151223,8.0148
20151224,8.7902
20151225,9.5297
20151226,5.2649
20151227,6.9612
20151228,9.5794
20151229,9.5714
20151230,9.1267
20151231,8.328
