iter	RMSE
0	0.7757944642
1	0.7714734084
2	0.7677860584
3	0.763554869444	0.759604098555	0.755236504566	0.7517287434
7	0.748448288	08	0.744169039	09	0.7410438010	0.7537583592
11	0.751352231
12	0.748548607
13	0.7458072348
14	0.7434345836
15	15	0.7249657916	0.7385602987
17	0.7364839719
18	0.7344641818
19	0.7316694142
20	0.72929125
21	0.7273358545
22	0.725504759
23	0.7234503062
24	0.7218516397
25	0.7203299099
26	0.7183861543
27	0.716878968
28	0.7148666581
29	0.7134396627
30	0.7125325829
31	0.7112886842
32	0.7104220036
33	0.7090989334
34	0.7075101977
35	0.7066038103
36	0.7053825086
37	0.7045780413
38	0.7035665102
39	0.7022351924
40	0.7012624034
41	0.7004527451
42	0.6998670166
43	0.6992544019
44	0.6983799558
45	0.6972969954
46	0.6965194551
47	0.6955281224
48	0.6946008273
49	0.6935213506
50	0.6930594816
51	0.6918815619
52	0.6909942679
53	0.6899763788
54	0.6891945681
55	0.6883338203
56	0.6876690809
57	0.6868649456
58	0.6864737089
59	0.6855484061
60	0.6847031461
61	0.6842283256
62	0.683610066
63	0.6826543937
64	0.6820162101
65	0.6811903619
66	0.6805319082
67	0.6799954962
68	0.6793174856
69	0.6788413742
70	0.6781462368
71	0.6774642494
72	0.6770680399
73	0.6768174577474	0.67618859875	0.6655847368
76	0.6649537462
77	0.6644594058
78	0.6640248648
79	0.6634892868
80	0.6626842461
81	0.6623454456
82	0.6618912714
83	0.6616212817
84	0.6612568274
85	0.6609466181
86	0.660400798
87	0.6597228862
88	0.6592354219
89	0.6589402601
90	0.6586216532
91	0.6580551391
92	0.6575330564
93	0.6570601959
94	0.6565017915
95	0.6561652461
96	0.6556504467
97	0.6554165729
98	0.6550030865
99	0.6545612367
100	0.6541426049
101	0.6537486983
102	0.6534032942
103	0.6529646319
104	0.6521988872
105	0.651815247
106	0.651334956
107	0.6507516726
108	0.6501424205
109	0.6498593704
110	0.6496049385
111	0.6494093894
112	0.6491609196
113	0.6488802956
114	0.6486314736
115	0.648161149
116	0.6478918654
117	0.6475846618
118	0.647215218
119	0.6470066599
