iter	Passed	Remaining
0	11	4508
1	21	4305
2	28	3733
3	35	3495
4	41	331155	52	3415
6	61	3452
7	68	334588	74	325299	81	317310	94	3334
11	103	3333
12	109	3260
13	115	3194
14	122	3135
15	122	2934
16	137	3107117	148	3141118	158	3176
19	167	3184
20	173	3138
21	183	3158
22	194	3182
23	204	3199
24	213	3198
25	220	3167
26	226	3133
27	234	3114
28	240	3080
29	247	3048
30	253	3014
31	259	2983
32	265	2951
33	272	2931
34	280	2929
35	291	2946
36	299	2938
37	306	2918
38	313	2901
39	319	2877
40	325	2854
41	332	2830
42	338	2809
43	347	2813
44	358	2824
45	368	2834
46	378	2842
47	384	2822
48	391	2800
49	397	2782
50	404	2768
51	411	2750
52	418	2737
53	428	2743
54	434	2726
55	441	2709
56	447	2693
57	453	2676
58	460	2662
59	467	2647
60	476	2649
61	485	2644
62	491	2628
63	497	2611
64	503	2595
65	509	2580666	516	2565667	522	2551668	528	2536669	536	2528770	545	2526
71	551	2513
72	558	2502
73	564	2488774	571	247475	573	2444
76	581	2438
77	587	2426
78	596	2422
79	603	2412
80	609	2402
81	616	2391
82	622	2379
83	629	2366
84	635	2354
85	642	2345
86	648	2333
87	655	2322
88	661	2310
89	667	2298
90	673	2286
91	679	2275
92	685	2264
93	692	2253
94	698	2242
95	704	2232
96	711	2222
97	717	2211
98	723	2200
99	729	2189
100	735	2178
101	742	2168
102	748	2158
103	755	2148
104	761	2138
105	767	2128
106	773	2118
107	779	2108
108	786	2098
109	792	2089
110	798	2079
111	804	2069
112	810	2059
113	817	2050
114	823	2040
115	829	2031
116	835	2021
117	841	2012
118	847	2002
119	854	1992
120	860	1984
121	867	1976
122	874	1968
123	880	1958
124	886	1949
125	892	1939
126	898	1930
127	904	1921
128	910	1912
129	916	1904
130	923	1896
131	929	1887
132	935	1878
133	941	1869
134	948	1861
135	954	1852
136	960	1843
137	966	1835
138	972	1826
139	978	1817
140	984	1809
141	990	1800
142	997	1791
143	1003	1783
144	1009	1775
145	1015	1766
146	1021	1758
147	1027	1749
148	1033	1741
149	1039	1733
150	1046	1725
151	1052	1716
152	1058	1708
153	1064	1700
154	1070	1692
155	1076	1684
156	1083	1676
157	1089	1668
158	1095	1660
159	1101	1652
160	1107	1644
161	1113	1635
162	1119	1628
163	1126	1620
164	1132	1612
165	1138	1605
166	1144	1597
167	1151	1589
168	1157	1582
169	1163	1574
170	1170	1566
171	1176	1559
172	1182	1551
173	1188	1544
174	1195	1536
175	1201	1529
176	1207	1521
177	1213	1513
178	1219	1506
179	1226	1498
180	1232	1491
181	1238	1483
182	1245	1476
183	1250	1468
184	1257	1461
185	1263	1454
186	1270	1446
187	1276	1439
188	1282	1432
189	1289	1425
190	1295	1417
191	1301	1410
192	1307	1402
193	1313	1395
194	1320	1387
195	1326	1380
196	1332	1372
197	1338	1365
198	1344	1358
199	1351	1351
200	1357	1344
201	1364	1337
202	1370	1330
203	1377	1323
204	1382	1315
205	1388	1307
206	1395	1301
207	1401	1293
208	1408	1287
209	1414	1279
210	1420	1272
211	1427	1265
212	1433	1258
213	1439	1251
214	1445	1244
215	1452	1236
216	1458	1229
217	1464	1222
218	1470	1215
